Audit report
""
Dulkóðuð kennitala,dagsetting,ip tala
1907724343434343,2012-01-31 13:35:40 UTC,127.0.0.1
1907724343434343,2012-01-31 13:41:32 UTC,127.0.0.1
190trtgr343434343,2012-01-31 13:42:34 UTC,127.0.0.1
190trtgr343434343,2012-01-31 16:27:30 UTC,127.0.0.1
1965465443434338959135,2012-01-31 18:26:14 UTC,192.168.1.38
196546544343437506484,2012-01-31 16:31:38 UTC,127.0.0.1
ggg123,2012-01-31 18:31:50 UTC,192.168.1.38
ggg12345,2012-01-31 18:34:39 UTC,192.168.1.38
ggg12345,2012-01-31 18:35:22 UTC,192.168.1.38
gggffd12345,2012-01-31 18:39:41 UTC,192.168.1.38
